iter	Passed	Remaining
854	142600	24183
855	142729	24010
856	142870	23839
857	143007	23667
858	143130	23494
859	143241	23318
860	143400	23150
861	143525	22977
862	143650	22804
863	143802	22635
864	143931	22463
865	144079	22294
866	144205	22121
867	144330	21948
868	144464	21777
869	144600	21606
870	144708	21432
871	144844	21261
872	144962	21088
873	145108	20919
874	145214	20744
875	145317	20570
876	145433	20397
877	145556	20225
878	145675	20053
879	145792	19880
880	145927	19710
881	146030	19536
882	146137	19363
883	146235	19189
884	146339	19015
885	146439	18842
886	146534	18667
887	146636	18494
888	146730	18320
889	146830	18147
890	146944	17976
891	147038	17802
892	147145	17631
893	147244	17458
894	147352	17287
895	147452	17115
896	147548	16942
897	147644	16770
898	147740	16598
899	147832	16425
900	147911	16252
901	147995	16079
902	148083	15907
903	148164	15734
904	148249	15562
905	148327	15389
906	148414	15217
907	148507	15047
908	148588	14875
909	148671	14703
910	148750	14532
911	148839	14361
912	148928	14191
913	149020	14021
914	149097	13850
915	149180	13680
916	149269	13510
917	149353	13340
918	149437	13171
919	149523	13002
920	149600	12832
921	149681	12662
922	149765	12493
923	149848	12325
924	149928	12156
925	150025	11989
926	150107	11820
927	150184	11652
928	150271	11484
929	150358	11317
930	150434	11149
931	150513	10981
932	150592	10814
933	150677	10647
934	150762	10480
935	150841	10313
936	150927	10147
937	151011	9981
938	151092	9815
939	151167	9649
940	151262	9484
941	151340	9318
942	151431	9153
943	151519	8988
944	151602	8823
945	151681	8658
946	151778	8494
947	151860	8329
948	151938	8165
949	152016	8000
950	152110	7837
951	152194	7673
952	152281	7510
953	152360	7346
954	152448	7183
955	152542	7020
956	152626	6857
957	152709	6694
958	152790	6532
959	152869	6369
960	152964	6207
961	153053	6045
962	153132	5883
963	153221	5721
964	153299	5560
965	153386	5398
966	153476	5237
967	153561	5076
968	153653	4915
969	153736	4754
970	153823	4594
971	153908	4433
972	153989	4273
973	154078	4112
974	154166	3952
975	154248	3793
976	154322	3632
977	154409	3473
978	154485	3313
979	154556	3154
980	154620	2994
981	154696	2835
982	154764	2676
983	154821	2517
984	154884	2358
985	154954	2200
986	155018	2041
987	155089	1883
988	155152	1725
989	155210	1567
990	155275	1410
991	155332	1252
992	155384	1095
993	155427	938
994	155472	781
995	155510	624
996	155553	468
997	155592	311
998	155632	155
999	155671	0
